card_0, card_1, card_2, card_3, card_4, start_colour, result, red_pawn_count, blue_pawn_count, num_turns
73792, 66816, 278592, 4194432, 131392, 0, 4, 4, 4, 4
66816, 131392, 73792, 328000, 278592, 1, 2, 4, 4, 6
141312, 327808, 148480, 66816, 337920, 1, 4, 3, 3, 29
131392, 327808, 264448, 328000, 139392, 0, 4, 4, 3, 18
148480, 133248, 4194432, 141312, 73792, 1, 4, 4, 4, 3
272448, 328000, 66816, 264448, 557376, 0, 4, 4, 4, 8
327808, 139392, 272448, 141312, 557376, 1, 2, 4, 4, 12
73792, 264448, 272448, 76032, 557376, 1, 4, 4, 4, 25
148480, 264448, 133248, 327808, 278592, 1, 4, 4, 3, 21
141312, 272448, 328000, 264448, 73792, 0, 2, 4, 3, 17
272448, 264448, 327808, 337920, 66816, 0, 2, 4, 4, 7
337920, 272448, 148480, 139392, 76032, 0, 4, 4, 4, 6
557376, 131392, 76032, 141312, 272448, 1, 2, 4, 3, 12
278592, 148480, 131392, 272448, 133248, 1, 4, 4, 4, 23
66816, 327808, 133248, 557376, 141312, 1, 2, 4, 4, 8
139392, 131392, 272448, 133248, 328000, 1, 4, 4, 3, 25
133248, 73792, 337920, 272448, 328000, 0, 4, 4, 4, 10
327808, 4194432, 278592, 66816, 139392, 0, 2, 4, 4, 11
148480, 133248, 337920, 139392, 131392, 1, 4, 3, 3, 11
4194432, 272448, 131392, 133248, 337920, 1, 4, 4, 4, 3
264448, 272448, 131392, 328000, 278592, 1, 2, 4, 3, 36
66816, 131392, 76032, 337920, 557376, 1, 4, 3, 3, 31
141312, 328000, 272448, 76032, 278592, 1, 4, 4, 4, 15
4194432, 76032, 139392, 131392, 264448, 1, 4, 3, 4, 13
148480, 133248, 141312, 557376, 131392, 1, 2, 2, 3, 30
66816, 139392, 264448, 133248, 327808, 0, 4, 3, 4, 12
327808, 557376, 148480, 73792, 264448, 0, 4, 4, 3, 18
327808, 264448, 278592, 76032, 73792, 0, 2, 4, 3, 27
272448, 557376, 4194432, 328000, 131392, 1, 4, 4, 4, 3
133248, 131392, 278592, 148480, 264448, 0, 4, 4, 4, 18
133248, 141312, 264448, 337920, 148480, 0, 4, 3, 4, 16
327808, 139392, 148480, 337920, 557376, 1, 2, 4, 3, 12
131392, 328000, 141312, 66816, 76032, 1, 4, 3, 3, 21
337920, 66816, 76032, 272448, 4194432, 1, 4, 4, 4, 9
139392, 278592, 131392, 73792, 557376, 0, 2, 4, 4, 21
148480, 66816, 272448, 133248, 557376, 1, 4, 4, 4, 21
4194432, 272448, 337920, 327808, 278592, 1, 4, 3, 4, 9
327808, 278592, 66816, 148480, 73792, 0, 4, 4, 4, 10
264448, 133248, 557376, 139392, 278592, 0, 2, 4, 4, 11
328000, 131392, 327808, 557376, 337920, 0, 4, 4, 4, 12
557376, 139392, 66816, 131392, 278592, 0, 4, 4, 4, 6
141312, 148480, 272448, 328000, 264448, 1, 4, 3, 2, 17
4194432, 73792, 327808, 131392, 148480, 0, 4, 4, 4, 8
278592, 327808, 272448, 76032, 133248, 1, 4, 3, 4, 21
73792, 131392, 141312, 148480, 4194432, 0, 2, 3, 3, 17
557376, 66816, 133248, 73792, 337920, 0, 4, 2, 4, 18
133248, 278592, 557376, 328000, 264448, 0, 2, 4, 4, 5
66816, 557376, 337920, 131392, 328000, 0, 4, 4, 4, 8
73792, 557376, 337920, 264448, 131392, 1, 4, 4, 4, 7
328000, 264448, 133248, 557376, 141312, 0, 2, 4, 4, 15
264448, 337920, 4194432, 73792, 76032, 0, 4, 3, 3, 8
278592, 328000, 327808, 264448, 73792, 0, 2, 4, 4, 7
327808, 557376, 131392, 278592, 148480, 1, 2, 4, 4, 16
557376, 337920, 141312, 328000, 272448, 0, 4, 3, 4, 12
148480, 139392, 4194432, 557376, 133248, 0, 2, 4, 4, 5
337920, 133248, 557376, 4194432, 73792, 1, 4, 4, 4, 5
139392, 272448, 264448, 141312, 278592, 0, 4, 4, 4, 12
557376, 133248, 139392, 328000, 66816, 1, 4, 4, 4, 5
328000, 272448, 264448, 133248, 4194432, 1, 4, 4, 4, 7
76032, 327808, 73792, 131392, 66816, 0, 4, 4, 3, 32
139392, 557376, 141312, 328000, 148480, 0, 4, 4, 4, 8
131392, 264448, 139392, 278592, 4194432, 0, 2, 4, 4, 15
131392, 264448, 557376, 73792, 141312, 1, 4, 4, 4, 7
139392, 557376, 278592, 133248, 141312, 0, 2, 4, 4, 9
141312, 73792, 4194432, 76032, 272448, 0, 4, 4, 4, 6
76032, 327808, 337920, 264448, 73792, 0, 4, 3, 4, 14
131392, 272448, 139392, 328000, 76032, 1, 4, 3, 4, 19
4194432, 66816, 73792, 76032, 337920, 0, 2, 4, 4, 9
73792, 557376, 133248, 278592, 272448, 0, 4, 4, 4, 6
278592, 76032, 66816, 141312, 327808, 0, 2, 4, 4, 9
327808, 141312, 66816, 278592, 4194432, 0, 4, 4, 4, 6
278592, 76032, 557376, 73792, 337920, 1, 4, 4, 4, 15
139392, 76032, 131392, 148480, 272448, 0, 4, 4, 4, 16
131392, 148480, 337920, 141312, 327808, 0, 2, 3, 4, 15
66816, 337920, 327808, 141312, 557376, 1, 2, 4, 4, 14
133248, 272448, 278592, 557376, 337920, 1, 2, 4, 3, 12
337920, 4194432, 133248, 278592, 327808, 1, 2, 4, 4, 4
4194432, 328000, 337920, 131392, 327808, 0, 4, 4, 4, 8
141312, 76032, 131392, 328000, 264448, 0, 4, 4, 4, 10
148480, 76032, 73792, 131392, 141312, 1, 2, 4, 4, 12
133248, 131392, 4194432, 139392, 337920, 0, 2, 4, 4, 13
141312, 139392, 337920, 278592, 73792, 1, 4, 4, 4, 13
278592, 66816, 328000, 4194432, 139392, 0, 2, 4, 4, 7
4194432, 337920, 73792, 327808, 131392, 1, 4, 4, 4, 7
139392, 131392, 557376, 141312, 278592, 1, 2, 2, 4, 18
141312, 66816, 139392, 133248, 148480, 0, 2, 4, 4, 9
278592, 557376, 264448, 133248, 141312, 1, 4, 4, 4, 9
278592, 148480, 557376, 141312, 337920, 1, 2, 4, 4, 14
278592, 73792, 133248, 141312, 4194432, 0, 4, 3, 4, 10
328000, 73792, 264448, 141312, 66816, 0, 2, 4, 4, 13
139392, 131392, 148480, 76032, 66816, 0, 2, 4, 3, 11
73792, 327808, 264448, 278592, 133248, 1, 2, 4, 3, 16
133248, 148480, 4194432, 557376, 264448, 1, 2, 3, 4, 12
272448, 66816, 4194432, 133248, 76032, 1, 2, 4, 4, 6
66816, 141312, 327808, 139392, 133248, 0, 4, 4, 4, 10
73792, 66816, 328000, 264448, 4194432, 1, 4, 4, 4, 3
133248, 328000, 557376, 4194432, 337920, 1, 2, 4, 4, 8
148480, 133248, 76032, 141312, 139392, 0, 4, 3, 4, 12
73792, 4194432, 272448, 148480, 139392, 0, 2, 4, 4, 3
4194432, 73792, 557376, 264448, 66816, 1, 2, 4, 4, 10
